"Açude","DataDoRegistro","VolumePercentual","Volume","AfluenciaDefluencia"
"Farinha","14/11/2014","8.11","2.086.910","0"
"Farinha","25/08/2014","14.65","3.769.456","0"
"Farinha","01/06/2014","22.45","5.778.051","0"
"Farinha","29/05/2014","22.45","5.778.051","0"
"Farinha","04/12/2015","0.72","185.240","0"
"Farinha","20/11/2015","0.68","176.075","0"
"Farinha","02/10/2015","0.68","176.075","0"
"Farinha","17/09/2015","1.04","267.725","0"
"Farinha","01/08/2015","1.88","482.800","0"
"Farinha","31/07/2015","1.88","482.800","0"
"Farinha","25/06/2015","2.38","612.670","0"
"Farinha","21/05/2015","2.86","735.790","0"
"Farinha","11/04/2015","4.77","1.228.260","0"
"Farinha","16/03/2015","0.72","185.240","0"
"Farinha","01/01/2015","4.36","1.121.780","0"
"Farinha","15/12/2016","11.43","2.942.600","0"
"Farinha","28/11/2016","12.37","3.183.140","0"
"Farinha","20/10/2016","16.84","4.334.100","0"
"Farinha","06/09/2016","26.96","6.938.213","0"
"Farinha","29/08/2016","27.62","7.108.270","0"
"Farinha","29/06/2016","31.58","8.128.607","0"
"Farinha","01/05/2016","39.24","10.100.137","0"
"Farinha","26/04/2016","39.72","10.222.241","0"
"Farinha","31/03/2016","30.13","7.754.483","3420383"
"Farinha","12/02/2016","4.13","1.061.885","0"
"Farinha","21/07/2016","31.58","8.128.607","0"
"Farinha","24/01/2016","4.46","1.148.400","0"
"Farinha","28/12/2017","0.78","200.515","0"
"Farinha","01/11/2017","2.01","516.100","0"
"Farinha","16/10/2017","2.38","612.670","0"
"Farinha","13/09/2017","3.45","888.855","0"
"Farinha","15/08/2017","4.67","1.201.640","0"
"Farinha","04/07/2017","13.48","3.468.781","0"
"Farinha","12/06/2017","13.77","3.543.950","0"
"Farinha","19/04/2017","11.43","2.942.600","0"
"Farinha","27/03/2017","7.86","2.023.325","0"
"Farinha","20/02/2017","6.63","1.705.400","0"
"Farinha","17/01/2017","8.11","2.086.910","0"
"Farinha","12/05/2017","14.12","3.634.152","0"
"Farinha","29/12/2018","26.69","6.870.191","0"
"Farinha","30/11/2018","30.26","7.788.495","0"
"Farinha","29/10/2018","35.81","9.216.967","0"
"Farinha","25/09/2018","41.77","10.751.357","0"
"Farinha","27/08/2018","46.83","12.053.797","0"
"Farinha","26/07/2018","51.58","13.274.835","0"
"Farinha","29/06/2018","55.52","14.290.587","0"
"Farinha","29/05/2018","60.85","15.661.664","0"
